817398805718;8;18;0;0
818471954317;7;20;0;0
819567114506;6;17;0;0
820615880227;10;15;0;0
821668805348;7;15;0;0
822716328320;7;15;0;0
823774667339;10;12;0;0
824825427033;7;15;0;0
825876194070;7;14;0;0
826929791925;8;13;0;0
828015709471;5;15;0;0
829066015404;6;14;0;0
830140542675;5;18;0;0
831197770710;8;20;0;0
832256106436;8;21;0;0
833305094926;6;23;0;0
834357344189;7;22;0;0
835416789194;8;19;0;0
836504727635;9;11;0;0
837556619270;6;14;0;0
838605953276;7;15;0;0
839697740507;6;14;0;0
840752666394;9;10;0;0
841805260134;6;14;0;0
842858427600;8;13;0;0
843905232618;6;15;0;0
844958358391;8;17;0;0
846009534123;5;26;0;0
847079556627;5;36;0;0
848165840481;4;37;0;0
849251380806;3;36;0;0
850309763751;4;37;0;0
851367013620;4;37;0;0
852442821556;5;37;0;0
853499963760;5;27;0;0
854558425105;10;20;0;0
855657303447;6;21;0;0
856705418007;6;13;0;0
857795232687;5;14;0;0
858845493894;7;14;0;0
859896549281;8;14;0;0
860945975504;9;12;0;0
862006864321;10;12;0;0
863057202977;6;16;0;0
864148754710;7;14;0;0
865195489787;7;12;0;0
866246420953;7;16;0;0
867297595634;11;13;0;0
868346539331;7;14;0;0
869401199651;7;14;0;0
870455421640;8;13;0;0
871545488355;9;11;0;0
872598369093;6;14;0;0
873657629274;6;15;0;0
874704881049;6;15;0;0
875759705600;5;14;0;0
876816861400;6;15;0;0
877867209130;7;13;0;0
878963312596;9;15;0;0
880015271603;7;15;0;0
881065503955;8;12;0;0
882122222179;8;14;0;0
883217670578;6;13;0;0
884305087254;8;14;0;0
885360001362;6;15;0;0
886447024769;8;12;0;0
887496508368;9;12;0;0
888593601493;8;12;0;0
889645574944;8;9;0;0
890701540481;5;15;0;0
891755794386;5;13;0;0
892820835589;6;12;0;0
893918133144;6;16;0;0
894965882692;6;13;0;0
896016494571;7;14;0;0
897066297569;8;13;0;0
898152401312;7;13;0;0
899206242662;8;10;0;0
900255208215;8;11;0;0
901306432213;8;13;0;0
902355449373;4;15;0;0
903406361774;9;11;0;0
904455318888;8;13;0;0
905507149971;6;16;0;0
906582584729;8;19;0;0
907636659316;7;20;0;0
908700598365;6;22;0;0
909755127621;6;21;0;0
910805730921;7;23;0;0
911865722398;8;16;0;0
912916010129;5;18;0;0
913965070130;7;14;0;0
915019522738;7;22;0;0
916076017805;7;21;0;0
917125857877;7;20;0;0
918211985397;6;22;0;0
919265451836;7;22;0;0
920280202174;8;14;0;0
921337628839;7;17;0;0
922394973003;9;17;0;0
923454291560;6;16;0;0
